city,month,avg_temp,max_temp,min_temp,avg_score,rain_probability,recommendation,season,temp_range,comfort_index
Haifa,2013-11-30,291.552965625,297.758333333,290.588,1.9944444444444445,0.005555555555555556,⭐️⭐️,Automne,7.170333332999974,174.76511270833333
Haifa,2013-12-31,288.34705129928363,293.24,276.48,1.9650537634408602,0.03494623655913978,⭐️⭐️,Hiver,16.75999999999999,171.95984368279596
Haifa,2014-01-31,288.4584697580645,294.26,278.15,1.9448924731182795,0.05510752688172043,⭐️⭐️,Hiver,16.110000000000014,171.42185604838707
Haifa,2014-02-28,289.05308982347026,297.582,284.788,1.9211309523809523,0.07886904761904762,⭐️⭐️,Hiver,12.793999999999983,171.06578246551072
Haifa,2014-03-31,290.59831693548387,294.952333333,284.969333333,1.8051075268817205,0.19489247311827956,⭐️⭐️,Printemps,9.983000000000004,168.51221596774192
Haifa,2014-04-30,292.13637847222225,296.555666667,288.644666667,1.913888888888889,0.08611111111111111,⭐️⭐️,Printemps,7.911000000000001,172.69849375
Haifa,2014-05-31,294.30874724681854,307.04,285.37,1.9690860215053763,0.030913978494623656,⭐️⭐️,Printemps,21.670000000000016,175.6578289932524
Haifa,2014-06-30,296.93599656084166,310.93,287.59,1.9805555555555556,0.019444444444444445,⭐️⭐️,Été,23.340000000000032,177.57826460317165
Haifa,2014-07-31,298.81202188990994,306.42,292.68,1.9556451612903225,0.04435483870967742,⭐️⭐️,Été,13.740000000000009,177.95656797265562
Haifa,2014-08-31,300.7710419276411,313.15,291.48,1.9838709677419355,0.016129032258064516,⭐️⭐️,Été,21.66999999999996,179.97875418884271
Haifa,2014-09-30,299.54243559444166,308.15,288.15,1.9902777777777778,0.009722222222222222,⭐️⭐️,Automne,20.0,179.43379468999834
Haifa,2014-10-31,296.3431492390887,308.15,284.15,1.9301075268817205,0.06854838709677419,⭐️⭐️,Automne,24.0,175.74943793055
Haifa,2014-11-30,291.7835092613667,302.15,281.15,1.823611111111111,0.1763888888888889,⭐️⭐️,Automne,21.0,169.77843889015335
Haifa,2014-12-31,289.88907709697446,299.15,279.15,1.935483870967742,0.06451612903225806,⭐️⭐️,Hiver,20.0,171.99796238721692
Haifa,2015-01-31,287.6273523295699,294.164,282.573,1.7486559139784945,0.2217741935483871,⭐️,Hiver,11.591000000000008,165.9231855912903
Haifa,2015-02-28,288.0557983264941,295.567,282.426,1.7425595238095237,0.22023809523809523,⭐️,Hiver,13.14100000000002,166.2263361387536
Haifa,2015-03-31,291.3882655089543,309.68,279.15,1.8870967741935485,0.11290322580645161,⭐️⭐️,Printemps,30.53000000000003,171.44586253117905
Haifa,2015-04-30,290.9342785057222,298.996,286.069,1.7958333333333334,0.20416666666666666,⭐️,Printemps,12.926999999999964,168.43556710343333
Haifa,2015-05-31,294.2365176956169,303.644,288.722,1.9193548387096775,0.08064516129032258,⭐️⭐️,Printemps,14.922000000000025,174.12255577866046
Haifa,2015-06-30,299.0526277777778,314.26,293.319,1.9847222222222223,0.015277777777777777,⭐️⭐️,Été,20.940999999999974,178.97324333333333
Haifa,2015-07-31,304.5006760752688,315.93,298.15,1.9959677419354838,0.004032258064516129,⭐️⭐️,Été,17.78000000000003,182.5794379032258
Haifa,2015-08-31,306.22251478494627,316.48,298.15,2.0,0.0,⭐️⭐️,Été,18.33000000000004,183.73350887096777
Haifa,2015-09-30,305.5749155867208,320.93,295.15,1.9986111111111111,0.001388888888888889,⭐️⭐️,Automne,25.78000000000003,183.30328268536582
Haifa,2015-10-31,301.1216035638427,313.81,288.15,1.8897849462365592,0.11021505376344086,⭐️⭐️,Automne,25.660000000000025,177.3665105254024
Haifa,2015-11-30,294.3767018407042,302.15,282.15,1.8819444444444444,0.11805555555555555,⭐️⭐️,Automne,20.0,173.08435443775585
Haifa,2015-12-31,290.6061087477312,303.7,274.15,1.8830645161290323,0.11693548387096774,⭐️⭐️,Hiver,29.55000000000001,170.85560073250969
Haifa,2016-01-31,288.0955145307366,299.29,271.15,1.8723118279569892,0.1196236559139785,⭐️⭐️,Hiver,28.140000000000043,169.26859904102258
Haifa,2016-02-29,290.3441659130618,301.15,276.15,1.9137931034482758,0.08620689655172414,⭐️⭐️,Hiver,25.0,171.62029265128535
Haifa,2016-03-31,291.4963894283992,301.15,280.15,1.9233870967741935,0.07526881720430108,⭐️⭐️,Printemps,21.0,172.6397691409105
Haifa,2016-04-30,296.04940890933057,310.65,282.15,1.9541666666666666,0.04583333333333333,⭐️⭐️,Printemps,28.5,176.25464534559833
Haifa,2016-05-31,301.4574205683105,315.93,289.31,1.9529569892473118,0.04704301075268817,⭐️⭐️,Printemps,26.620000000000005,179.46316201840565
Haifa,2016-06-30,304.0221836630569,314.74,294.77,1.9875,0.0125,⭐️⭐️,Été,19.970000000000027,182.03831019783414
Haifa,2016-07-31,303.49290188172046,312.59,298.2,2.0,0.0,⭐️⭐️,Été,14.389999999999986,182.09574112903226
Haifa,2016-08-31,303.77377253287233,313.15,295.15,1.9811827956989247,0.01881720430107527,⭐️⭐️,Été,18.0,181.69974739069113
Haifa,2016-09-30,303.8809986458306,311.48,296.08,1.9916666666666667,0.008333333333333333,⭐️⭐️,Automne,15.400000000000034,182.07859918749833
Haifa,2016-10-31,299.23276105945433,316.48,295.162,1.9919354838709677,0.008064516129032258,⭐️⭐️,Automne,21.31800000000004,179.29772115180162
Haifa,2016-11-30,294.6261001421472,305.15,282.31,1.975,0.025,⭐️⭐️,Automne,22.839999999999975,176.0256600852883
Haifa,2016-12-31,287.5954208576519,293.59,276.13,1.7701612903225807,0.22043010752688172,⭐️,Hiver,17.45999999999998,165.94434928878468
Haifa,2017-01-31,287.06113037634407,293.815,275.76,1.8655913978494623,0.12096774193548387,⭐️⭐️,Hiver,18.055000000000007,168.60764596774192
Haifa,2017-02-28,288.1164413104226,298.55,274.75,1.9032738095238095,0.09226190476190477,⭐️⭐️,Hiver,23.80000000000001,170.1020076433964
Haifa,2017-03-31,289.9937567204301,300.93,280.29,1.9489247311827957,0.04838709677419355,⭐️⭐️,Printemps,20.639999999999986,172.54464112903227
Haifa,2017-04-30,293.06919640030975,310.34,281.74,1.9652777777777777,0.034722222222222224,⭐️⭐️,Printemps,28.599999999999966,174.7998511735192
Haifa,2017-05-31,296.51312231182794,309.35,287.57,1.9973118279569892,0.0,⭐️⭐️,Printemps,21.78000000000003,177.90787338709677
Haifa,2017-06-30,299.46022312331667,308.53,291.23,1.9916666666666667,0.008333333333333333,⭐️⭐️,Été,17.299999999999955,179.42613387398998
Haifa,2017-07-31,302.6940020922245,311.93,294.65,1.9973118279569892,0.002688172043010753,⭐️⭐️,Été,17.28000000000003,181.53575609404436
Haifa,2017-08-31,302.0998924731183,310.12,292.98,1.9973118279569892,0.002688172043010753,⭐️⭐️,Été,17.139999999999986,181.17929032258064
Haifa,2017-09-30,301.0453078188472,312.15,290.18,2.0,0.0,⭐️⭐️,Automne,21.96999999999997,180.62718469130832
Haifa,2017-10-31,298.01189214175656,306.12,287.02,1.853494623655914,0.020030816640986132,⭐️⭐️,Automne,19.100000000000023,178.20621078582434
Haifa,2017-11-30,,,,1.0,,⭐️,Automne,,
Haifa,2025-06-30,29.52,29.52,29.52,2.0,0.0,⭐️⭐️,Été,0.0,17.712
Houston,2012-10-31,294.3316548522148,304.75,279.87,1.9576502732240437,0.03283173734610123,⭐️⭐️,Automne,24.879999999999995,175.61404079094584
Houston,2012-11-30,290.6840902777778,303.56,272.15,1.9791666666666667,0.020833333333333332,⭐️⭐️,Automne,31.410000000000025,173.78545416666665
Houston,2012-12-31,288.5577876344086,301.26,273.14,1.907258064516129,0.0913978494623656,⭐️⭐️,Hiver,28.120000000000005,170.3927370967742
Houston,2013-01-31,286.03501438171907,298.72,273.25,1.8615591397849462,0.13709677419354838,⭐️⭐️,Hiver,25.470000000000027,167.50810540322496
Houston,2013-02-28,288.02248859126934,299.12,276.45,1.9523809523809523,0.046130952380952384,⭐️⭐️,Hiver,22.670000000000016,171.42956458333302
Houston,2013-03-31,289.1615515723262,304.79,275.05,1.978494623655914,0.021505376344086023,⭐️⭐️,Printemps,29.74000000000001,172.85176965307312
Houston,2013-04-30,292.1511041666667,301.22,278.39,1.9083333333333334,0.09027777777777778,⭐️⭐️,Printemps,22.83000000000004,172.58232916666668
Houston,2013-05-31,296.73137836021505,305.36,280.72,1.9583333333333333,0.041666666666666664,⭐️⭐️,Printemps,24.639999999999986,176.78882701612903
Houston,2013-06-30,301.5273688657403,312.91,289.15,1.863888888888889,0.1361111111111111,⭐️⭐️,Été,23.760000000000048,176.83308798611083
Houston,2013-07-31,301.50061917562766,312.07,294.18,1.8225806451612903,0.1774193548387097,⭐️⭐️,Été,17.889999999999986,175.57779086021532
Houston,2013-08-31,302.0909704301075,310.82,294.4,1.885752688172043,0.11290322580645161,⭐️⭐️,Été,16.420000000000016,177.86748548387098
Houston,2013-09-30,300.5208489583334,309.590666667,290.659666667,1.823611111111111,0.1763888888888889,⭐️⭐️,Automne,18.930999999999983,175.02084270833336
Houston,2013-10-31,294.74835389785216,306.67,280.4925,1.668010752688172,0.33198924731182794,⭐️,Automne,26.17750000000001,166.88933491935643
Houston,2013-11-30,287.35980636574027,302.16,272.4875,1.8902777777777777,0.10972222222222222,⭐️⭐️,Automne,29.672500000000014,169.1242171527775
Houston,2013-12-31,283.83204099462364,299.45,272.03,1.9193548387096775,0.0793010752688172,⭐️⭐️,Hiver,27.420000000000016,167.92019233870965
Houston,2014-01-31,283.8592015319072,297.83,268.75,1.8293010752688172,0.17069892473118278,⭐️⭐️,Hiver,29.079999999999984,165.19455317720883
Houston,2014-02-28,285.6533035714286,299.31,272.87,1.75,0.25,⭐️,Hiver,26.439999999999998,163.89198214285713
Houston,2014-03-31,288.2930120967742,301.64,270.55,1.7634408602150538,0.23655913978494625,⭐️,Printemps,31.089999999999975,165.87903306451614
Houston,2014-04-30,293.6863375306486,306.25,278.55,1.8319444444444444,0.16805555555555557,⭐️⭐️,Printemps,27.69999999999999,171.17013585172248
Houston,2014-05-31,296.29404386791265,304.68,281.063,1.7405913978494623,0.25806451612903225,⭐️,Printemps,23.61700000000002,170.0344908368766
Houston,2014-06-30,300.7223068261917,307.26,291.813666667,1.7027777777777777,0.2972222222222222,⭐️,Été,15.446333332999984,171.51671742904836
Houston,2014-07-31,301.3611415936048,308.807666667,295.368333333,1.7970430107526882,0.20295698924731181,⭐️,Été,13.439333333999969,174.72797527874354
Houston,2014-08-31,301.8834265743898,309.625,293.747333333,1.7405913978494623,0.2594086021505376,⭐️,Été,15.877666667000028,173.34779788011772
Houston,2014-09-30,298.9681659722222,307.403666667,291.736333333,1.6388888888888888,0.3611111111111111,⭐️,Automne,15.667333333999977,168.54756625
Houston,2014-10-31,295.33015322580644,304.202666667,282.564,1.8077956989247312,0.1922043010752688,⭐️⭐️,Automne,21.638666666999995,171.43196290322578
Houston,2014-11-30,286.8415180555556,299.867666667,271.352,1.7013888888888888,0.2986111111111111,⭐️,Automne,28.515666667000005,163.1465775
Houston,2014-12-31,286.4876733870968,296.255666667,275.034666667,1.6330645161290323,0.36693548387096775,⭐️,Hiver,21.221000000000004,160.88453951612902
Houston,2015-01-31,281.93982661290323,297.233,272.171,1.7150537634408602,0.2849462365591398,⭐️,Hiver,25.062000000000012,160.61550887096772
Houston,2015-02-28,284.42027083333335,297.254333333,270.781666667,1.6458333333333333,0.3541666666666667,⭐️,Hiver,26.472666665999952,160.0271625
Houston,2015-03-31,289.9018219086022,300.658,273.043666667,1.4973118279569892,0.5026881720430108,⭐️,Printemps,27.61433333299999,158.86044798387098
